angle,sun,absorber,aux,position,intercept_factor
135.0,1866.81,18.6681,1101.4179,0.127,0.01694915254237288
135.0,1866.81,93.34049999999999,1045.4135999999999,0.303,0.08928571428571429
135.0,1866.81,224.0172,1120.086,0.374,0.2
135.0,1866.81,18.6681,952.0731,0.232,0.0196078431372549
135.0,1866.81,130.67669999999998,1008.0773999999999,0.269,0.12962962962962962
135.0,1866.81,93.34049999999999,952.0731,0.137,0.09803921568627451
135.0,1866.81,392.0301,1176.0902999999998,0.428,0.33333333333333337
135.0,1866.81,261.35339999999997,1026.7455,0.45,0.2545454545454545
135.0,1866.81,93.34049999999999,1101.4179,0.051,0.0847457627118644
135.0,1866.81,112.0086,1082.7498,0.31,0.10344827586206896
135.0,1866.81,93.34049999999999,1157.4222,0.191,0.08064516129032258
135.0,1866.81,18.6681,1045.4135999999999,0.179,0.01785714285714286
135.0,1866.81,93.34049999999999,1082.7498,0.322,0.08620689655172413
135.0,1866.81,224.0172,1008.0773999999999,0.375,0.22222222222222224
135.0,1866.81,56.0043,1026.7455,0.126,0.05454545454545455
135.0,1866.81,56.0043,1064.0817,0.141,0.052631578947368425
135.0,1866.81,168.0129,877.4006999999999,0.36,0.1914893617021277
135.0,1866.81,93.34049999999999,1194.7584,0.27,0.078125
135.0,1866.81,130.67669999999998,1082.7498,0.231,0.12068965517241377
135.0,1866.81,336.0258,1082.7498,0.429,0.3103448275862069
135.0,1866.81,74.6724,1026.7455,0.108,0.07272727272727272
135.0,1866.81,56.0043,1045.4135999999999,0.212,0.05357142857142858
135.0,1866.81,74.6724,1008.0773999999999,0.289,0.07407407407407408
135.0,1866.81,56.0043,1064.0817,0.161,0.052631578947368425
135.0,1866.81,298.6896,989.4092999999999,0.466,0.3018867924528302
135.0,1866.81,18.6681,1213.4265,0.035,0.015384615384615384
135.0,1866.81,18.6681,877.4006999999999,0.34,0.02127659574468085
135.0,1866.81,429.36629999999997,1064.0817,0.393,0.40350877192982454
135.0,1866.81,112.0086,914.7369,0.256,0.12244897959183673
135.0,1866.81,93.34049999999999,1101.4179,0.17,0.0847457627118644
135.0,1866.81,149.3448,1232.0946,0.157,0.12121212121212122
135.0,1866.81,74.6724,1157.4222,0.203,0.06451612903225806
135.0,1866.81,18.6681,1008.0773999999999,0.241,0.01851851851851852
135.0,1866.81,429.36629999999997,952.0731,0.417,0.45098039215686275
135.0,1866.81,74.6724,933.405,0.084,0.08
135.0,1866.81,130.67669999999998,1138.7540999999999,0.26,0.11475409836065574
135.0,1866.81,18.6681,1101.4179,0.186,0.01694915254237288
135.0,1866.81,37.3362,896.0688,0.315,0.041666666666666664
135.0,1866.81,74.6724,989.4092999999999,0.135,0.07547169811320754
135.0,1866.81,392.0301,1213.4265,0.366,0.3230769230769231
135.0,1866.81,56.0043,1101.4179,0.153,0.05084745762711865
135.0,1866.81,410.6982,989.4092999999999,0.401,0.41509433962264153
135.0,1866.81,37.3362,1138.7540999999999,0.1,0.03278688524590164
135.0,1866.81,354.6939,1176.0902999999998,0.459,0.3015873015873016
135.0,1866.81,93.34049999999999,1138.7540999999999,0.042,0.0819672131147541
135.0,1866.81,242.68529999999998,1213.4265,0.363,0.19999999999999998
135.0,1866.81,18.6681,1082.7498,0.081,0.017241379310344827
135.0,1866.81,74.6724,1138.7540999999999,0.097,0.06557377049180328
135.0,1866.81,37.3362,1157.4222,0.301,0.03225806451612903
135.0,1866.81,93.34049999999999,1045.4135999999999,0.2,0.08928571428571429
135.0,1866.81,112.0086,933.405,0.347,0.12000000000000001
135.0,1866.81,37.3362,1157.4222,0.316,0.03225806451612903
135.0,1866.81,74.6724,1120.086,0.185,0.06666666666666667
135.0,1866.81,205.3491,1064.0817,0.367,0.19298245614035087
135.0,1866.81,149.3448,989.4092999999999,0.298,0.1509433962264151
135.0,1866.81,18.6681,1045.4135999999999,0.134,0.01785714285714286
135.0,1866.81,74.6724,1120.086,0.297,0.06666666666666667
135.0,1866.81,74.6724,1250.7627,0.138,0.05970149253731343
135.0,1866.81,112.0086,1194.7584,0.261,0.09375
135.0,1866.81,37.3362,1250.7627,0.24,0.029850746268656716
135.0,1866.81,336.0258,1082.7498,0.42,0.3103448275862069
135.0,1866.81,410.6982,1157.4222,0.404,0.3548387096774194
135.0,1866.81,93.34049999999999,1026.7455,0.204,0.0909090909090909
135.0,1866.81,74.6724,1045.4135999999999,0.154,0.07142857142857144
135.0,1866.81,224.0172,1176.0902999999998,0.348,0.1904761904761905
135.0,1866.81,410.6982,1138.7540999999999,0.46,0.36065573770491804
135.0,1866.81,280.0215,1101.4179,0.364,0.25423728813559326
135.0,1866.81,354.6939,970.7411999999999,0.403,0.3653846153846154
135.0,1866.81,93.34049999999999,1045.4135999999999,0.098,0.08928571428571429
135.0,1866.81,37.3362,933.405,0.258,0.04
135.0,1866.81,37.3362,1176.0902999999998,0.083,0.03174603174603175
135.0,1866.81,261.35339999999997,1101.4179,0.418,0.23728813559322032
135.0,1866.81,74.6724,1120.086,0.201,0.06666666666666667
135.0,1866.81,56.0043,1064.0817,0.3,0.052631578947368425
135.0,1866.81,56.0043,1176.0902999999998,0.187,0.04761904761904762
135.0,1866.81,168.0129,896.0688,0.461,0.1875
135.0,1866.81,112.0086,1082.7498,0.04,0.10344827586206896
135.0,1866.81,168.0129,1157.4222,0.314,0.14516129032258066
135.0,1866.81,168.0129,1269.4307999999999,0.349,0.13235294117647062
