angle,position,intercept factor
225,0.031,0.08035714285714286
135,0.032,0.06349206349206349
136,0.032,0.06349206349206349
137,0.032,0.09230769230769231
138,0.032,0.09302325581395349
139,0.032,0.06766917293233082
140,0.032,0.13043478260869565
141,0.032,0.10606060606060606
142,0.032,0.11594202898550725
143,0.032,0.09448818897637795
144,0.032,0.1452991452991453
145,0.032,0.08943089430894309
146,0.032,0.14049586776859505
147,0.032,0.13559322033898305
148,0.032,0.09375
149,0.032,0.19327731092436976
150,0.032,0.12857142857142856
151,0.032,0.13402061855670103
152,0.032,0.21621621621621623
153,0.032,0.23809523809523808
154,0.032,0.14705882352941177
155,0.032,0.17857142857142858
156,0.032,0.14545454545454545
157,0.032,0.17073170731707318
158,0.032,0.23893805309734514
159,0.032,0.16923076923076924
160,0.032,0.18253968253968253
161,0.032,0.15789473684210525
162,0.032,0.14285714285714285
163,0.032,0.14960629921259844
164,0.032,0.2066115702479339
165,0.032,0.1896551724137931
166,0.032,0.08333333333333333
167,0.032,0.14049586776859505
168,0.032,0.21551724137931033
169,0.032,0.16279069767441862
170,0.032,0.10344827586206896
171,0.032,0.24752475247524752
172,0.032,0.15789473684210525
173,0.032,0.3170731707317073
174,0.032,0.1450381679389313
175,0.032,0.3118279569892473
176,0.032,0.25
177,0.032,0.21100917431192662
178,0.032,0.22935779816513763
179,0.032,0.2571428571428571
180,0.032,0.2032520325203252
181,0.032,0.2283464566929134
182,0.032,0.23636363636363636
183,0.032,0.211864406779661
184,0.032,0.1623931623931624
185,0.032,0.1553398058252427
186,0.032,0.21875
187,0.032,0.22522522522522523
188,0.032,0.2830188679245283
189,0.032,0.16417910447761194
190,0.032,0.22580645161290322
191,0.032,0.23148148148148148
192,0.032,0.168
193,0.032,0.08695652173913043
194,0.032,0.1320754716981132
195,0.032,0.14049586776859505
196,0.032,0.12
197,0.032,0.14516129032258066
198,0.032,0.14049586776859505
199,0.032,0.15384615384615385
200,0.032,0.18584070796460178
201,0.032,0.10236220472440945
202,0.032,0.24786324786324787
203,0.032,0.168
204,0.032,0.13432835820895522
205,0.032,0.1951219512195122
206,0.032,0.21153846153846154
207,0.032,0.11023622047244094
208,0.032,0.18699186991869918
209,0.032,0.1826086956521739
210,0.032,0.11504424778761062
211,0.032,0.16279069767441862
212,0.032,0.216
213,0.032,0.10344827586206896
214,0.032,0.12121212121212122
215,0.032,0.14728682170542637
216,0.032,0.09352517985611511
217,0.032,0.12195121951219512
218,0.032,0.12121212121212122
219,0.032,0.050359712230215826
220,0.032,0.08108108108108109
221,0.032,0.11290322580645161
222,0.032,0.07936507936507936
223,0.032,0.058823529411764705
224,0.032,0.056910569105691054
225,0.032,0.058823529411764705
135,0.033,0.072
136,0.033,0.05714285714285714
137,0.033,0.06349206349206349
138,0.033,0.09302325581395349
139,0.033,0.15
140,0.033,0.12307692307692308
141,0.033,0.07801418439716312
142,0.033,0.10606060606060606
143,0.033,0.15178571428571427
144,0.033,0.168141592920354
145,0.033,0.13559322033898305
146,0.033,0.11278195488721804
147,0.033,0.1111111111111111
148,0.033,0.14705882352941177
149,0.033,0.15254237288135594
150,0.033,0.16417910447761194
151,0.033,0.11290322580645161
152,0.033,0.13513513513513514
153,0.033,0.19298245614035087
154,0.033,0.2072072072072072
155,0.033,0.14960629921259844
156,0.033,0.27419354838709675
157,0.033,0.2
158,0.033,0.12280701754385964
159,0.033,0.21739130434782608
160,0.033,0.17647058823529413
161,0.033,0.13178294573643412
162,0.033,0.12056737588652482
163,0.033,0.14393939393939395
164,0.033,0.11965811965811966
165,0.033,0.16666666666666666
166,0.033,0.168
167,0.033,0.2066115702479339
168,0.033,0.17557251908396945
169,0.033,0.1452991452991453
170,0.033,0.09523809523809523
171,0.033,0.23636363636363636
172,0.033,0.20634920634920634
173,0.033,0.1619047619047619
174,0.033,0.23728813559322035
175,0.033,0.20833333333333334
176,0.033,0.1794871794871795
177,0.033,0.20610687022900764
178,0.033,0.21008403361344538
179,0.033,0.17073170731707318
180,0.033,0.27350427350427353
181,0.033,0.21008403361344538
182,0.033,0.205607476635514
183,0.033,0.25
184,0.033,0.22807017543859648
185,0.033,0.19672131147540983
186,0.033,0.308411214953271
187,0.033,0.24786324786324787
188,0.033,0.21495327102803738
189,0.033,0.23008849557522124
190,0.033,0.19327731092436976
191,0.033,0.1328125
192,0.033,0.15789473684210525
193,0.033,0.17073170731707318
194,0.033,0.1746031746031746
195,0.033,0.1559633027522936
196,0.033,0.1774193548387097
197,0.033,0.2066115702479339
198,0.033,0.11811023622047244
199,0.033,0.15789473684210525
200,0.033,0.19696969696969696
201,0.033,0.2
202,0.033,0.11594202898550725
203,0.033,0.1896551724137931
204,0.033,0.21008403361344538
205,0.033,0.109375
206,0.033,0.21052631578947367
207,0.033,0.15873015873015872
208,0.033,0.140625
209,0.033,0.16831683168316833
210,0.033,0.18867924528301888
211,0.033,0.168141592920354
212,0.033,0.168141592920354
213,0.033,0.11627906976744186
214,0.033,0.14018691588785046
215,0.033,0.23076923076923078
216,0.033,0.11904761904761904
217,0.033,0.15315315315315314
218,0.033,0.15873015873015872
219,0.033,0.06818181818181818
220,0.033,0.07563025210084033
221,0.033,0.09375
222,0.033,0.07462686567164178
223,0.033,0.05343511450381679
224,0.033,0.05185185185185185
225,0.033,0.09243697478991597
135,0.034,0.10236220472440945
136,0.034,0.046875
137,0.034,0.0743801652892562
138,0.034,0.13385826771653545
139,0.034,0.12396694214876033
140,0.034,0.08029197080291971
141,0.034,0.050359712230215826
142,0.034,0.12698412698412698
143,0.034,0.13043478260869565
144,0.034,0.10144927536231885
145,0.034,0.08695652173913043
146,0.034,0.18110236220472442
147,0.034,0.2413793103448276
148,0.034,0.2
149,0.034,0.1
150,0.034,0.18518518518518517
151,0.034,0.12605042016806722
152,0.034,0.1044776119402985
153,0.034,0.17829457364341086
154,0.034,0.19047619047619047
155,0.034,0.16030534351145037
156,0.034,0.109375
157,0.034,0.21008403361344538
158,0.034,0.19672131147540983
159,0.034,0.22033898305084745
160,0.034,0.15447154471544716
161,0.034,0.1623931623931624
162,0.034,0.125
163,0.034,0.07692307692307693
164,0.034,0.1297709923664122
165,0.034,0.1743119266055046
166,0.034,0.17355371900826447
167,0.034,0.15517241379310345
168,0.034,0.168
169,0.034,0.16666666666666666
170,0.034,0.13953488372093023
171,0.034,0.25862068965517243
172,0.034,0.15702479338842976
173,0.034,0.27927927927927926
174,0.034,0.1935483870967742
175,0.034,0.24074074074074073
176,0.034,0.26126126126126126
177,0.034,0.12605042016806722
178,0.034,0.216
179,0.034,0.23076923076923078
180,0.034,0.22413793103448276
181,0.034,0.17699115044247787
182,0.034,0.1092436974789916
183,0.034,0.18032786885245902
184,0.034,0.15702479338842976
185,0.034,0.24561403508771928
186,0.034,0.2459016393442623
187,0.034,0.22950819672131148
188,0.034,0.19327731092436976
189,0.034,0.19491525423728814
190,0.034,0.140625
191,0.034,0.2882882882882883
192,0.034,0.22549019607843138
193,0.034,0.12
194,0.034,0.15966386554621848
195,0.034,0.15702479338842976
196,0.034,0.18333333333333332
197,0.034,0.144
198,0.034,0.22321428571428573
199,0.034,0.16393442622950818
200,0.034,0.14728682170542637
201,0.034,0.16521739130434782
202,0.034,0.203125
203,0.034,0.16521739130434782
204,0.034,0.15966386554621848
205,0.034,0.18446601941747573
206,0.034,0.24561403508771928
207,0.034,0.2066115702479339
208,0.034,0.12149532710280374
209,0.034,0.16071428571428573
210,0.034,0.109375
211,0.034,0.12280701754385964
212,0.034,0.09523809523809523
213,0.034,0.20967741935483872
214,0.034,0.1111111111111111
215,0.034,0.05343511450381679
216,0.034,0.13793103448275862
217,0.034,0.102803738317757
218,0.034,0.15151515151515152
219,0.034,0.08148148148148149
220,0.034,0.09090909090909091
221,0.034,0.06569343065693431
222,0.034,0.06779661016949153
223,0.034,0.11811023622047244
224,0.034,0.06153846153846154
225,0.034,0.04477611940298507
135,0.035,0.05263157894736842
136,0.035,0.07086614173228346
137,0.035,0.06766917293233082
138,0.035,0.03278688524590164
139,0.035,0.1111111111111111
140,0.035,0.11627906976744186
141,0.035,0.1044776119402985
142,0.035,0.13559322033898305
143,0.035,0.12605042016806722
144,0.035,0.12605042016806722
145,0.035,0.072
146,0.035,0.1694915254237288
147,0.035,0.1568627450980392
148,0.035,0.15966386554621848
149,0.035,0.11627906976744186
150,0.035,0.15789473684210525
151,0.035,0.15447154471544716
152,0.035,0.1092436974789916
153,0.035,0.184
154,0.035,0.2066115702479339
155,0.035,0.16417910447761194
156,0.035,0.16666666666666666
157,0.035,0.226890756302521
158,0.035,0.22950819672131148
159,0.035,0.1794871794871795
160,0.035,0.1774193548387097
161,0.035,0.14285714285714285
162,0.035,0.1875
163,0.035,0.18548387096774194
164,0.035,0.23076923076923078
165,0.035,0.2231404958677686
166,0.035,0.15
167,0.035,0.216
168,0.035,0.2032520325203252
169,0.035,0.20353982300884957
170,0.035,0.25210084033613445
171,0.035,0.1693548387096774
172,0.035,0.22935779816513763
173,0.035,0.2
174,0.035,0.2066115702479339
175,0.035,0.22950819672131148
176,0.035,0.21008403361344538
177,0.035,0.15447154471544716
178,0.035,0.11570247933884298
179,0.035,0.21739130434782608
180,0.035,0.21568627450980393
181,0.035,0.21100917431192662
182,0.035,0.24528301886792453
183,0.035,0.21739130434782608
184,0.035,0.20512820512820512
185,0.035,0.15966386554621848
186,0.035,0.23577235772357724
187,0.035,0.23214285714285715
188,0.035,0.23529411764705882
189,0.035,0.22123893805309736
190,0.035,0.1640625
191,0.035,0.22807017543859648
192,0.035,0.14814814814814814
193,0.035,0.14705882352941177
194,0.035,0.1746031746031746
195,0.035,0.104
196,0.035,0.12698412698412698
197,0.035,0.12149532710280374
198,0.035,0.21951219512195122
199,0.035,0.1694915254237288
200,0.035,0.2066115702479339
201,0.035,0.21008403361344538
202,0.035,0.11904761904761904
203,0.035,0.109375
204,0.035,0.24561403508771928
205,0.035,0.09836065573770492
206,0.035,0.13934426229508196
207,0.035,0.13114754098360656
208,0.035,0.1487603305785124
209,0.035,0.14615384615384616
210,0.035,0.13178294573643412
211,0.035,0.12280701754385964
212,0.035,0.15384615384615385
213,0.035,0.16393442622950818
214,0.035,0.18461538461538463
215,0.035,0.09803921568627451
216,0.035,0.11805555555555555
217,0.035,0.11711711711711711
218,0.035,0.1504424778761062
219,0.035,0.15
220,0.035,0.1
221,0.035,0.08527131782945736
222,0.035,0.11304347826086956
223,0.035,0.05343511450381679
224,0.035,0.058823529411764705
225,0.035,0.07462686567164178
135,0.036,0.03225806451612903
136,0.036,0.07751937984496124
137,0.036,0.08333333333333333
138,0.036,0.057971014492753624
139,0.036,0.09090909090909091
140,0.036,0.11764705882352941
141,0.036,0.051094890510948905
142,0.036,0.09482758620689655
143,0.036,0.10236220472440945
144,0.036,0.10948905109489052
145,0.036,0.13675213675213677
